target,text,indices,label
staff,but the $t$ was so horrible to us .,2,-1
food,"to be completely fair , the only redeeming factor was the $t$ , which was above average , but couldn ' t make up for all the other deficiencies of teodora .",11,1
food,"the $t$ is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it ' s on the menu or not .",1,1
kitchen,"the food is uniformly exceptional , with a very capable $t$ which will proudly whip up whatever you feel like eating , whether it ' s on the menu or not .",10,1
menu,"the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it ' s on the $t$ or not .",28,0
food,"not only was the $t$ outstanding , but the little ' perks ' were great .",4,1
orrechiete with sausage and chicken,our agreed favorite is the $t$ ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,5,1
waiters,our agreed favorite is the orrechiete with sausage and chicken ( usually the $t$ are kind enough to split the dish in half so you get to sample both meats ) .,13,1
dish,our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the $t$ in half so you get to sample both meats ) .,20,0
meats,our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both $t$ ) .,29,0
bagels,"the $t$ have an outstanding taste with a terrific texture , both chewy yet not gummy .",1,1
food,nevertheless the $t$ itself is pretty good .,2,1
mayonnaise,"they did not have $t$ , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",4,-1
toast,"they did not have mayonnaise , forgot our $t$ , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",8,-1
ingredients,"they did not have mayonnaise , forgot our toast , left out $t$ ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",12,-1
cheese,"they did not have mayonnaise , forgot our toast , left out ingredients ( ie $t$ in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",15,0
omelet,"they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an $t$ ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",18,0
bacon,"they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the $t$ was so over cooked it crumbled on the plate when you touched it .",26,-1
plate,"they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the $t$ when you touched it .",35,0
check,"it took half an hour to get our $t$ , which was perfect since we could sit , have drinks and talk !",8,0
drinks,"it took half an hour to get our check , which was perfect since we could sit , have $t$ and talk !",19,0
design,the $t$ and atmosphere is just as good .,1,1
atmosphere,the design and $t$ is just as good .,3,1
cuisine,he has visited thailand and is quite expert on the $t$ .,10,1
pizza,the $t$ is the best if you like thin crusted pizza .,1,1
thin crusted pizza,the pizza is the best if you like $t$ .,8,0
interior decoration,"all the money went into the $t$ , none of it went to the chefs .",6,1
chefs,"all the money went into the interior decoration , none of it went to the $t$ .",15,-1
seats,the $t$ are uncomfortable if you are sitting against the wall on wooden benches .,1,-1
seltzer with lime,"i asked for $t$ , no ice .",3,0
pickles,"don ' t go alone - - - even two people isn ' t enough for the whole experience , with $t$ and a selection of meats and seafoods .",21,1
selection of meats and seafoods,"don ' t go alone - - - even two people isn ' t enough for the whole experience , with pickles and a $t$ .",24,1
eat family style,my suggestion is to $t$ because you ' ll want to try the other dishes .,4,1
dishes,my suggestion is to eat family style because you ' ll want to try the other $t$ .,16,0
vibe,"best of all is the warm $t$ , the owner is super friendly and service is fast .",6,1
owner,"best of all is the warm vibe , the $t$ is super friendly and service is fast .",9,1
